doc_a,doc_b,type_document,label,relation
TDR-026,TDR-051,TDR,0,different_or_hard_negative
TDR-027,TDR-049,TDR,0,different_or_hard_negative
TDR-027,TDR-050,TDR,0,different_or_hard_negative
TDR-027,TDR-051,TDR,0,different_or_hard_negative
TDR-028,TDR-030,TDR,0,different_or_hard_negative
TDR-028,TDR-040,TDR,0,different_or_hard_negative
TDR-028,TDR-041,TDR,0,different_or_hard_negative
TDR-028,TDR-042,TDR,0,different_or_hard_negative
TDR-029,TDR-030,TDR,0,different_or_hard_negative
TDR-029,TDR-040,TDR,0,different_or_hard_negative
TDR-029,TDR-041,TDR,0,different_or_hard_negative
TDR-029,TDR-042,TDR,0,different_or_hard_negative
TDR-030,TDR-040,TDR,0,different_or_hard_negative
TDR-030,TDR-041,TDR,0,different_or_hard_negative
TDR-030,TDR-042,TDR,0,different_or_hard_negative
TDR-031,TDR-033,TDR,0,different_or_hard_negative
TDR-032,TDR-033,TDR,0,different_or_hard_negative
TDR-034,TDR-036,TDR,0,different_or_hard_negative
TDR-035,TDR-036,TDR,0,different_or_hard_negative
TDR-037,TDR-039,TDR,0,different_or_hard_negative
TDR-038,TDR-039,TDR,0,different_or_hard_negative
TDR-040,TDR-042,TDR,0,different_or_hard_negative
TDR-041,TDR-042,TDR,0,different_or_hard_negative
TDR-043,TDR-045,TDR,0,different_or_hard_negative
TDR-044,TDR-045,TDR,0,different_or_hard_negative
TDR-046,TDR-048,TDR,0,different_or_hard_negative
TDR-047,TDR-048,TDR,0,different_or_hard_negative
TDR-049,TDR-051,TDR,0,different_or_hard_negative
TDR-050,TDR-051,TDR,0,different_or_hard_negative
TDR-052,TDR-054,TDR,0,different_or_hard_negative
TDR-053,TDR-054,TDR,0,different_or_hard_negative
TDR-055,TDR-057,TDR,0,different_or_hard_negative
TDR-056,TDR-057,TDR,0,different_or_hard_negative
TDR-058,TDR-060,TDR,0,different_or_hard_negative
TDR-059,TDR-060,TDR,0,different_or_hard_negative
